BUSINESS DATE,CLOSE PRICE,HIGH PRICE,LOW PRICE,TOTAL TRADED QUANTITY,TOTAL TRADED VALUE,TOTAL TRADES
2025-11-19,688.0,690.0,681.0,1250,854746.5,25
2025-11-18,693.0,703.0,683.5,1718,1187804.3,34
2025-11-17,695.0,700.0,678.1,3335,2286966.7,56
2025-11-16,698.0,715.0,691.0,250,175499.0,12
2025-11-13,702.9,720.0,696.2,2864,2042629.0,33
2025-11-12,700.0,715.0,700.0,1620,1137609.0,17
2025-11-11,712.0,723.0,697.1,1860,1320182.0,32
2025-11-10,710.0,712.0,709.0,1840,1305652.1,21
2025-11-09,722.0,722.0,704.1,2580,1838798.0,44
2025-11-06,715.0,731.0,710.0,760,544672.0,17
2025-11-05,732.0,732.0,703.1,1624,1164041.0,36
2025-11-04,719.0,723.0,710.0,1159,829015.5,28
2025-11-03,715.0,724.8,703.7,1685,1197606.4,27
2025-11-02,718.9,723.0,707.1,3852,2752491.3,56
2025-10-30,709.0,719.0,703.2,4315,3065208.0,42
2025-10-29,716.9,729.9,691.9,2474,1766897.5,54
2025-10-28,706.0,720.0,695.0,1237,880795.6,42
2025-10-26,710.0,717.9,676.5,1720,1182383.0,22
2025-10-19,704.0,704.0,660.1,2754,1883062.1,32
2025-10-16,673.5,699.9,655.0,2671,1807550.4,41
2025-10-15,708.0,711.8,695.1,2382,1667716.8,26
2025-10-14,700.0,714.5,700.0,910,639142.0,20
2025-10-13,729.0,729.0,704.0,1210,867177.0,46
2025-10-12,712.0,731.3,685.1,5429,3786929.0,81
2025-10-09,717.0,738.3,717.0,2922,2120886.5,32
2025-10-08,724.0,728.0,704.0,3444,2457126.1,65
2025-10-07,714.0,759.9,708.1,2576,1862009.0,45
2025-09-28,745.0,750.0,737.0,1882,1393352.5,27
2025-09-25,741.2,765.0,736.0,3640,2704803.9,44
2025-09-24,741.0,784.0,738.8,3362,2534956.0,53
2025-09-23,769.0,770.0,736.0,4215,3210097.5,94
2025-09-21,734.73,750.7,696.0,7181,5230824.5,122
2025-09-18,725.11,725.11,725.11,0,0.0,0
2025-09-08,725.11,742.0,718.0,4440,3230116.7,56
2025-09-07,724.67,764.0,717.4,6368,4649708.7,100
2025-09-04,733.94,755.0,727.5,4500,3318856.5,72
2025-09-03,752.42,778.0,750.1,11220,8599756.7,190
2025-09-02,753.2,753.2,753.2,0,0.0,0
2025-09-01,753.2,753.2,753.2,10,7532.0,1
2025-08-31,738.49,769.5,726.1,5776,4263476.9,93
2025-08-28,739.74,777.0,735.0,7186,5359051.4,79
2025-08-27,767.44,777.2,755.5,8571,6611866.9,122
2025-08-26,752.6,772.9,740.0,3795,2864295.8,75
2025-08-25,746.98,757.0,718.0,9091,6754749.9,115
2025-08-24,728.68,734.0,712.0,7389,5321651.5,131
2025-08-21,711.98,734.9,710.0,9939,7151139.0,117
